journal,publication year,email sent date,response received date,content recieved date,Response,shared code,shared data,author is graduate student at time of publication?,author home
AAS,2015,7/4/2017,,,,,,,
,,,,,,,,,
,,,,,,,,,
JAS,2014,5/1/2014,7/5/2014,,"want more time to exploit data, need to clean R code more",,,n,USA
JAS,2014,5/1/2014,5/3/2014,,going into the field,,,n,USA
AMANT,2014,5/4/2014,5/9/2014,,intend to use part of this data in another test,,,y,UK
PLOSONE,2014,5/8/2014,5/9/2014,,intend to use part of this data in another test,,,y,UK
JAS,2014,5/9/2014,5/9/2014,,intend to use part of this data in another test,,,y,UK
QI,2014,,,,,,,y,China
,,,,,,,,,
,,,,,,,,,
JAS,2013,5/9/2014,5/10/2014,,previous negative experience,,,n,USA
JAS,2013,5/9/2014,5/11/2014,,raw data in the paper,,,y,USA
JAS,2013,,,,raw data in the paper,,,y,Australia
SAA,2013,,,,qualitative ,,,y,UK
ARCHMTRY,2013,6/4/2017,6/4/2017,8/4/2017,"has to look for the data, found it",,,n,UK
JAS,2013,6/4/2017,,,,,,y,Germany
,,,,,,,,,
JFA,2012,6/4/2017,13/4/2017,,about to defend thesis,,,n,South Africa
LT,2012,6/4/2017,9/4/2017,9/4/2017,contained in MA thesis at http://scholarcommons.usf.edu/etd/1244/,,,n,USA
JHE,2012,6/4/2017,,,,,,n,USA
JAS,2012,6/4/2017,14/4/2017,,about to go on vacation,,,n,USA
SA,2012,,,,,,,n,Italy
JAS,2012,,,,,,,n,Spain
,,,,,,,,,
PLOSONE,2011,,,,,,,y,Germany
AMANT,2011,6/4/2017,,,,,,y,USA
JAS,2011,6/4/2017,7/4/2017,7/4/2017,Excel spreadsheet with no conditions,,,y,France
JAS,2011,6/4/2017,7/4/2017,7/4/2017,Excel spreadsheet with conditions,,,y,Ireland
JAS,2011,,,,,,,y,Spain
JAS,2011,,,,,,,y,USA
,,,,,,,,,
SCI,2010,7/4/2017,7/4/2017,,Collaborator tensions within team,,,y,France
JAS,2010,,,,,,,y,USA
JAS,2010,13/4/2017,,,email bounce,,,y ,USA
SCAN,2010,,,,,,,y,USA
JAS,2010,,,,,,,y,USA
JAS,2010,7/4/2017,12/4/2017,12/4/2017,"email bounce, sent spreadsheet ok",,,y,USA
,,,,,,,,,
ARCHMTRY,2009,,,,,,,n,USA
JAS,2009,7/4/2017,,,email bounce,,,y,USA
ASN PERS,2009,,,,,,,y,AUS
JAS,2009,7/4/2017,,,"open data not there, maybe contact colleague? ",,,n,
SAS,2009,,,,,,,n,USA
JAS,2009,13/4/2017,,,,,,y,USA
